dataset,model,MASE,WQL
dominick,output/run-0/checkpoint-final,0.8915073926226106,0.3599461489403426
ercot,output/run-0/checkpoint-final,0.7328707746845998,0.02320905423909092
exchange_rate,output/run-0/checkpoint-final,1.6908326273484036,0.009901341246390593
m4_quarterly,output/run-0/checkpoint-final,1.4494357120910124,0.09155101327402743
m4_yearly,output/run-0/checkpoint-final,4.127595331750969,0.14973888182711806
m5,output/run-0/checkpoint-final,0.9527885808917321,0.6209022463406734
monash_australian_electricity,output/run-0/checkpoint-final,1.0925605405977303,0.06306214132059501
monash_car_parts,output/run-0/checkpoint-final,0.8478514342822036,1.0282793281611724
monash_cif_2016,output/run-0/checkpoint-final,1.0859669764485862,0.01305129499602481
monash_covid_deaths,output/run-0/checkpoint-final,55.153211319282846,0.1097292725696574
monash_fred_md,output/run-0/checkpoint-final,0.5148752184966784,0.026441848627725903
monash_hospital,output/run-0/checkpoint-final,0.8631992495691151,0.06129297527386045
monash_m1_monthly,output/run-0/checkpoint-final,1.2394415434449886,0.13904624727893605
monash_m1_quarterly,output/run-0/checkpoint-final,1.9076900354648947,0.119796306443727
monash_m1_yearly,output/run-0/checkpoint-final,4.989879749955281,0.1970776872620884
monash_m3_monthly,output/run-0/checkpoint-final,0.9715276056501779,0.10584953072735581
monash_m3_quarterly,output/run-0/checkpoint-final,1.316996945354919,0.0792355344413497
monash_m3_yearly,output/run-0/checkpoint-final,3.3019143118218413,0.1519157950893636
monash_nn5_weekly,output/run-0/checkpoint-final,1.0447649598196451,0.09764213206777701
monash_tourism_monthly,output/run-0/checkpoint-final,2.249663440295022,0.12405424786357022
monash_tourism_quarterly,output/run-0/checkpoint-final,1.8913085049216851,0.07724781814682816
monash_tourism_yearly,output/run-0/checkpoint-final,3.992514525876671,0.18211317990207632
monash_traffic,output/run-0/checkpoint-final,0.881586741371949,0.26478454653537414
monash_weather,output/run-0/checkpoint-final,0.8604885062005927,0.150775180028191
nn5,output/run-0/checkpoint-final,0.6882218333999316,0.18562836629807486
