dataset,model,MASE,WQL
dominick,output/run-5/checkpoint-100000,0.9237282808806774,0.3717042439956638
ercot,output/run-5/checkpoint-100000,0.7025374124442179,0.021183727373089666
exchange_rate,output/run-5/checkpoint-100000,1.7529424271621328,0.01427505145658888
m4_quarterly,output/run-5/checkpoint-100000,1.4360442021271762,0.09088431024443236
m4_yearly,output/run-5/checkpoint-100000,4.130376840743091,0.15036076458474817
m5,output/run-5/checkpoint-100000,0.9745310502357686,0.6290987226862691
monash_australian_electricity,output/run-5/checkpoint-100000,1.1766436903034323,0.06887926155297448
monash_car_parts,output/run-5/checkpoint-100000,0.8402833437020281,1.0256443283865213
monash_cif_2016,output/run-5/checkpoint-100000,1.0320649910282218,0.014920625059361687
monash_covid_deaths,output/run-5/checkpoint-100000,59.29278882067784,0.07917978344637494
monash_fred_md,output/run-5/checkpoint-100000,0.4975190113881269,0.028147027609403612
monash_hospital,output/run-5/checkpoint-100000,0.862028425243486,0.05940662660848249
monash_m1_monthly,output/run-5/checkpoint-100000,1.2353217469018158,0.15267884112679173
monash_m1_quarterly,output/run-5/checkpoint-100000,1.8855425795337386,0.11164933565604598
monash_m1_yearly,output/run-5/checkpoint-100000,4.9627709249256355,0.21306858337038814
monash_m3_monthly,output/run-5/checkpoint-100000,0.9620391494372142,0.10643004510719013
monash_m3_quarterly,output/run-5/checkpoint-100000,1.3503414520227017,0.08157051956260362
monash_m3_yearly,output/run-5/checkpoint-100000,3.2234697088057174,0.14936717107286682
monash_nn5_weekly,output/run-5/checkpoint-100000,1.0059916348228566,0.09577575407645288
monash_tourism_monthly,output/run-5/checkpoint-100000,2.124900129077855,0.1400368677787629
monash_tourism_quarterly,output/run-5/checkpoint-100000,1.874602628313493,0.07989500893459807
monash_tourism_yearly,output/run-5/checkpoint-100000,3.9489841039080917,0.18486074664751306
monash_traffic,output/run-5/checkpoint-100000,0.8620110837235032,0.26346551005379226
monash_weather,output/run-5/checkpoint-100000,0.8615471570245109,0.15003260646927916
nn5,output/run-5/checkpoint-100000,0.6374225022600767,0.17439299711147618
