dataset,model,MASE,WQL
dominick,output/t5-v1_1-base/checkpoint-final,0.8506763366046203,0.35919515653384737
ercot,output/t5-v1_1-base/checkpoint-final,0.7578880400430258,0.020381132368452366
exchange_rate,output/t5-v1_1-base/checkpoint-final,1.664068647883178,0.011742375596353669
m4_quarterly,output/t5-v1_1-base/checkpoint-final,1.3028853334806818,0.08557062178526303
m4_yearly,output/t5-v1_1-base/checkpoint-final,3.650837869873046,0.132068768335426
m5,output/t5-v1_1-base/checkpoint-final,0.9434970762580454,0.6307305812765832
monash_australian_electricity,output/t5-v1_1-base/checkpoint-final,1.2008526667005632,0.07637166027942557
monash_car_parts,output/t5-v1_1-base/checkpoint-final,0.8490373522805578,1.0067927467541127
monash_cif_2016,output/t5-v1_1-base/checkpoint-final,0.9472557486118812,0.016711615004451397
monash_covid_deaths,output/t5-v1_1-base/checkpoint-final,43.68088624597119,0.04729912113595234
monash_fred_md,output/t5-v1_1-base/checkpoint-final,0.47019981468723926,0.016287672950142155
monash_hospital,output/t5-v1_1-base/checkpoint-final,0.829630857504415,0.05837146057206079
monash_m1_monthly,output/t5-v1_1-base/checkpoint-final,1.119291606386097,0.14661302488192962
monash_m1_quarterly,output/t5-v1_1-base/checkpoint-final,1.758114536462339,0.1131800373497384
monash_m1_yearly,output/t5-v1_1-base/checkpoint-final,4.159861016348768,0.15013435925663055
monash_m3_monthly,output/t5-v1_1-base/checkpoint-final,0.9350118974960547,0.10283235204401323
monash_m3_quarterly,output/t5-v1_1-base/checkpoint-final,1.2361613529705409,0.07644611650891082
monash_m3_yearly,output/t5-v1_1-base/checkpoint-final,3.032792076371183,0.14666543787229536
monash_nn5_weekly,output/t5-v1_1-base/checkpoint-final,1.0063915622846147,0.0950004029937046
monash_tourism_monthly,output/t5-v1_1-base/checkpoint-final,1.7520416352984944,0.10396524248116062
monash_tourism_quarterly,output/t5-v1_1-base/checkpoint-final,1.800374957244685,0.06999375949757591
monash_tourism_yearly,output/t5-v1_1-base/checkpoint-final,3.8786524886666762,0.1847863024208201
monash_traffic,output/t5-v1_1-base/checkpoint-final,0.9119535467963952,0.2782600356350105
monash_weather,output/t5-v1_1-base/checkpoint-final,0.8531180616701803,0.15202160816925103
nn5,output/t5-v1_1-base/checkpoint-final,0.6044524880219684,0.1647020646366903
