dataset,model,MASE,WQL
dominick,output/run-0/checkpoint-final,1.1588737489915262,0.43534371455557125
ercot,output/run-0/checkpoint-final,2.282903908340089,0.09162751119419774
exchange_rate,output/run-0/checkpoint-final,1.9717928324032432,0.01567826080368107
m4_quarterly,output/run-0/checkpoint-final,2.062547311972366,0.12691524409458188
m4_yearly,output/run-0/checkpoint-final,6.416241155518846,0.22031563702378712
m5,output/run-0/checkpoint-final,0.9791979818129756,0.6764492695913055
monash_australian_electricity,output/run-0/checkpoint-final,2.5156659326315673,0.15335027571487433
monash_car_parts,output/run-0/checkpoint-final,0.8097495684436143,1.0032996877738194
monash_cif_2016,output/run-0/checkpoint-final,1.3059138884613957,0.02960707903600111
monash_covid_deaths,output/run-0/checkpoint-final,127.05336284360986,0.26327319052553455
monash_fred_md,output/run-0/checkpoint-final,1.3146861653778463,0.370833752163479
monash_hospital,output/run-0/checkpoint-final,0.8749543122009334,0.0680285074248155
monash_m1_monthly,output/run-0/checkpoint-final,1.6150836377302693,0.1879467815679313
monash_m1_quarterly,output/run-0/checkpoint-final,2.6597976887941135,0.1686350173952454
monash_m1_yearly,output/run-0/checkpoint-final,7.6916666144248556,0.1956212089159355
monash_m3_monthly,output/run-0/checkpoint-final,1.3195676083172576,0.1336069302242805
monash_m3_quarterly,output/run-0/checkpoint-final,2.0717546956300708,0.12158139461564026
monash_m3_yearly,output/run-0/checkpoint-final,5.7714162527247845,0.24523473153136774
monash_nn5_weekly,output/run-0/checkpoint-final,1.0916981253636302,0.10083899257071693
monash_tourism_monthly,output/run-0/checkpoint-final,3.479232663395012,0.23985517543043333
monash_tourism_quarterly,output/run-0/checkpoint-final,3.903106279834399,0.1834688387972466
monash_tourism_yearly,output/run-0/checkpoint-final,4.987323777578079,0.30517131831975036
monash_traffic,output/run-0/checkpoint-final,1.6264684831030092,0.47389336996929493
monash_weather,output/run-0/checkpoint-final,0.9197220748804517,0.16116066069365514
nn5,output/run-0/checkpoint-final,1.2639027209757734,0.379976163894723
